fid	year	quarter	date_receipt	s40	code_period	code_present_place
138945	2019	1	2019-04-22	7444	21	214
144628	2019	1	2019-04-22	5442	21	214
147271	2019	1	2019-04-05	0	21	214
148831	2019	1	2019-07-02	99433	21	214
150677	2019	1	2019-04-04	0	21	214
162698	2019	1	2019-04-09	0	21	214
163301	2019	1	2019-04-15	0	21	214
167261	2019	1	2019-04-11	0	21	214
175305	2019	1	2019-04-04	0	21	214
183481	2019	1	2019-06-19	1830926	21	214
187488	2019	1	2019-04-25	1490	21	214
192986	2019	1	2019-04-24	445332	21	214
198631	2019	1	2019-06-19	250	21	214
15439	2019	1	2019-04-15	0	21	214
19742	2019	1	2019-04-22	0	21	214
26659	2019	1	2020-05-18	113939	21	214
34358	2019	1	2019-04-24	0	21	214
35320	2019	1	2019-04-25	787296	21	214
38283	2019	1	2019-04-25	0	21	214
40872	2019	1	2019-04-15	0	21	214
43494	2019	1	2019-04-24	2395662	21	214
45862	2019	1	2019-04-25	0	21	214
58915	2019	1	2019-04-29	2931	21	214
63464	2019	1	2019-04-09	241660	21	214
65893	2019	1	2020-03-24	900429	21	214
66070	2019	1	2019-04-10	0	21	214
66408	2019	1	2019-04-23	0	21	214
67892	2019	1	2019-04-18	0	21	214
68680	2019	1	2019-04-10	0	21	214
78909	2019	1	2019-04-24	283124	21	214
88331	2019	1	2019-04-23	0	21	214
88703	2019	1	2019-10-28	78211	21	214
90377	2019	1	2019-04-24	2383	21	214
90716	2019	1	2019-04-14	0	21	214
96109	2019	1	2019-04-23	33892	21	214
105752	2019	1	2019-04-25	0	21	214
138561	2019	1	2019-04-18	0	21	214
138591	2019	1	2019-04-25	0	21	214
146602	2019	1	2019-04-25	0	21	214
147029	2019	1	2019-04-16	0	21	214
147360	2019	1	2019-12-27	53705	21	214
151686	2019	1	2019-11-11	32650	21	214
158509	2019	1	2019-04-15	0	21	214
163540	2019	1	2019-10-31	2315518	21	214
164024	2019	1	2019-04-25	0	21	214
169700	2019	1	2019-04-19	0	21	214
170418	2019	1	2019-04-15	0	21	214
170635	2019	1	2019-04-19	166019	21	214
181482	2019	1	2019-04-17	0	21	214
182043	2019	1	2019-09-06	0	21	214
188328	2019	1	2019-07-01	547912	21	214
5471	2019	1	2019-04-16	0	21	214
14287	2019	1	2019-04-22	195617	21	214
22539	2019	1	2019-04-25	426	21	214
27033	2019	1	2019-04-16	0	21	214
28221	2019	1	2019-05-04	167219	21	214
34867	2019	1	2019-09-26	247	21	214
37585	2019	1	2019-04-23	0	21	214
41857	2019	1	2020-10-21	0	21	214
46049	2019	1	2019-04-19	0	21	214
55108	2019	1	2019-07-09	0	21	214
58882	2019	1	2019-04-25	8829	21	214
61655	2019	1	2019-07-25	34772	21	214
62285	2019	1	2019-04-25	0	21	214
68566	2019	1	2019-04-24	502407	21	214
69240	2019	1	2019-04-24	22226	21	214
69957	2019	1	2020-03-27	5268456	21	214
74589	2019	1	2019-04-25	47203	21	214
77557	2019	1	2019-04-05	0	21	214
81280	2019	1	2019-05-07	0	21	214
82975	2019	1	2019-04-25	0	21	214
90797	2019	1	2019-04-24	6479	21	214
95307	2019	1	2019-04-09	0	21	214
110289	2019	1	2019-04-10	125574	21	214
120754	2019	1	2019-04-24	944	21	214
132060	2019	1	2019-05-27	997108	21	214
136551	2019	1	2019-04-16	100536	21	214
138785	2019	1	2019-04-15	0	21	214
143137	2019	1	2019-04-25	55402	21	214
145526	2019	1	2019-04-19	0	21	214
151545	2019	1	2019-04-02	0	21	214
151746	2019	1	2019-04-03	0	21	214
157140	2019	1	2019-04-23	31509	21	214
